age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
39,government,77516,bachelors,13,notmarried,white-collar,not-in-family,white,male,2174,0,40,united-states,<=50K
50,self-employed,83311,bachelors,13,married,white-collar,husband,white,male,0,0,13,united-states,<=50K
38,private,215646,highschoolgrad,9,separated,blue-collar,not-in-family,white,male,0,0,40,united-states,<=50K
53,private,234721,dropout,7,married,blue-collar,husband,black,male,0,0,40,united-states,<=50K
28,private,338409,bachelors,13,married,prof-specialty,wife,black,female,0,0,40,cuba,<=50K
37,private,284582,masters,14,married,white-collar,wife,white,female,0,0,40,united-states,<=50K
49,private,160187,dropout,5,notmarried,service,not-in-family,black,female,0,0,16,jamaica,<=50K
52,self-employed,209642,highschoolgrad,9,married,white-collar,husband,white,male,0,0,45,united-states,>50K
31,private,45781,masters,14,notmarried,prof-specialty,not-in-family,white,female,14084,0,50,united-states,>50K
42,private,159449,bachelors,13,married,white-collar,husband,white,male,5178,0,40,united-states,>50K
37,private,280464,communitycollege,10,married,white-collar,husband,black,male,0,0,80,united-states,>50K
30,government,141297,bachelors,13,married,prof-specialty,husband,asian-pac-islander,male,0,0,40,india,>50K
23,private,122272,bachelors,13,notmarried,white-collar,own-child,white,female,0,0,30,united-states,<=50K
32,private,205019,communitycollege,12,notmarried,service,not-in-family,black,male,0,0,50,united-states,<=50K
40,private,121772,communitycollege,11,married,blue-collar,husband,asian-pac-islander,male,0,0,40,,>50K
34,private,245487,dropout,4,married,blue-collar,husband,amer-indian-eskimo,male,0,0,45,mexico,<=50K
25,self-employed,176756,highschoolgrad,9,notmarried,blue-collar,own-child,white,male,0,0,35,united-states,<=50K
32,private,186824,highschoolgrad,9,notmarried,blue-collar,unmarried,white,male,0,0,40,united-states,<=50K
38,private,28887,dropout,7,married,service,husband,white,male,0,0,50,united-states,<=50K
43,self-employed,292175,masters,14,separated,white-collar,unmarried,white,female,0,0,45,united-states,>50K
40,private,193524,doctorate,16,married,prof-specialty,husband,white,male,0,0,60,united-states,>50K
54,private,302146,highschoolgrad,9,separated,service,unmarried,black,female,0,0,20,united-states,<=50K
35,government,76845,dropout,5,married,blue-collar,husband,black,male,0,0,40,united-states,<=50K
43,private,117037,dropout,7,married,blue-collar,husband,white,male,0,2042,40,united-states,<=50K
59,private,109015,highschoolgrad,9,separated,service,unmarried,white,female,0,0,40,united-states,<=50K
56,government,216851,bachelors,13,married,service,husband,white,male,0,0,40,united-states,>50K
19,private,168294,highschoolgrad,9,notmarried,blue-collar,own-child,white,male,0,0,40,united-states,<=50K
54,,180211,communitycollege,10,married,,husband,asian-pac-islander,male,0,0,60,south,>50K
39,private,367260,highschoolgrad,9,separated,white-collar,not-in-family,white,male,0,0,80,united-states,<=50K
49,private,193366,highschoolgrad,9,married,blue-collar,husband,white,male,0,0,40,united-states,<=50K
23,government,190709,communitycollege,12,notmarried,service,not-in-family,white,male,0,0,52,united-states,<=50K
20,private,266015,communitycollege,10,notmarried,service,own-child,black,male,0,0,44,united-states,<=50K
45,private,386940,bachelors,13,separated,white-collar,own-child,white,male,0,1408,40,united-states,<=50K
30,government,59951,communitycollege,10,married,white-collar,own-child,white,male,0,0,40,united-states,<=50K
22,government,311512,communitycollege,10,married,service,husband,black,male,0,0,15,united-states,<=50K
48,private,242406,dropout,7,notmarried,blue-collar,unmarried,white,male,0,0,40,puerto-rico,<=50K
21,private,197200,communitycollege,10,notmarried,blue-collar,own-child,white,male,0,0,40,united-states,<=50K
19,private,544091,highschoolgrad,9,married,white-collar,wife,white,female,0,0,25,united-states,<=50K
31,private,84154,communitycollege,10,married,service,husband,white,male,0,0,38,,>50K
48,self-employed,265477,communitycollege,12,married,prof-specialty,husband,white,male,0,0,40,united-states,<=50K
31,private,507875,dropout,5,married,blue-collar,husband,white,male,0,0,43,united-states,<=50K
53,self-employed,88506,bachelors,13,married,prof-specialty,husband,white,male,0,0,40,united-states,<=50K
24,private,172987,bachelors,13,married,service,husband,white,male,0,0,50,united-states,<=50K
49,private,94638,highschoolgrad,9,separated,white-collar,unmarried,white,female,0,0,40,united-states,<=50K
25,private,289980,highschoolgrad,9,notmarried,blue-collar,not-in-family,white,male,0,0,35,united-states,<=50K
57,government,337895,bachelors,13,married,prof-specialty,husband,black,male,0,0,40,united-states,>50K
53,private,144361,highschoolgrad,9,married,blue-collar,husband,white,male,0,0,38,united-states,<=50K
44,private,128354,masters,14,separated,white-collar,unmarried,white,female,0,0,40,united-states,<=50K
41,government,101603,communitycollege,11,married,blue-collar,husband,white,male,0,0,40,united-states,<=50K
29,private,271466,communitycollege,11,notmarried,prof-specialty,not-in-family,white,male,0,0,43,united-states,<=50K
25,private,32275,communitycollege,10,married,white-collar,wife,other,female,0,0,40,united-states,<=50K
18,private,226956,highschoolgrad,9,notmarried,service,own-child,white,female,0,0,30,,<=50K
47,private,51835,masters,15,married,prof-specialty,wife,white,female,0,1902,60,honduras,>50K
50,government,251585,bachelors,13,separated,white-collar,not-in-family,white,male,0,0,55,united-states,>50K
47,self-employed,109832,highschoolgrad,9,separated,white-collar,not-in-family,white,male,0,0,60,united-states,<=50K
43,private,237993,communitycollege,10,married,service,husband,white,male,0,0,40,united-states,>50K
46,private,216666,dropout,3,married,blue-collar,husband,white,male,0,0,40,mexico,<=50K
35,private,56352,communitycollege,11,married,service,husband,white,male,0,0,40,puerto-rico,<=50K
41,private,147372,highschoolgrad,9,married,white-collar,husband,white,male,0,0,48,united-states,<=50K
30,private,188146,highschoolgrad,9,married,blue-collar,husband,white,male,5013,0,40,united-states,<=50K
30,private,59496,bachelors,13,married,service,husband,white,male,2407,0,40,united-states,<=50K
32,,293936,dropout,4,notmarried,,not-in-family,white,male,0,0,40,,<=50K
48,private,149640,highschoolgrad,9,married,blue-collar,husband,white,male,0,0,40,united-states,<=50K
42,private,116632,doctorate,16,married,prof-specialty,husband,white,male,0,0,45,united-states,>50K
